name,ra_deg,dec_deg,dm,dm_err,galactic_lat
FRB20190518G,94.79,75.52,524.9464,0.0043,24.22
FRB20190519D,164.57,42.99,539.771,0.011,62.15
FRB20190519E,168.28,41.65,693.8297,0.0011,65.2
FRB20190519F,165.63,77.23,797.766,0.023,38.29
FRB20190519G,306.68,72.34,430.094,0.022,18.99
FRB20190519H,342.99,87.37,1170.8729,0.003,24.84
FRB20190519A,29.5031258,65.7167542,348.7128,0.0042,3.73
FRB20190519A,29.5031258,65.7167542,348.7128,0.0042,3.73
FRB20190519B,29.5031258,65.7167542,349.28,0.038,3.73
FRB20190519B,29.5031258,65.7167542,349.28,0.038,3.73
FRB20190519B,29.5031258,65.7167542,349.28,0.038,3.73
FRB20190519B,29.5031258,65.7167542,349.28,0.038,3.73
FRB20190519C,29.5031258,65.7167542,349.064,0.019,3.73
FRB20190519J,296.21,86.93,642.759,0.044,26.38
FRB20190520A,273.52,26.32,432.5063,0.0057,19.37
FRB20190527A,12.45,7.99,584.58,0.16,-54.88
FRB20190527A,12.45,7.99,584.58,0.16,-54.88
FRB20190527B,73.92,63.22,449.819,0.067,12.3
FRB20190527C,100.22,57.0,535.4368,0.0019,21.11
FRB20190529A,68.06,40.32,704.45,0.081,-5.29
FRB20190530A,68.74,60.59,555.445,0.024,8.75
FRB20190531A,203.96,81.72,324.6981,0.0062,35.24
FRB20190531B,259.91,49.32,167.9597,0.001,34.89
FRB20190531C,331.14,43.0,478.202,0.034,-10.07
FRB20190531E,15.2,0.54,328.2034,0.0025,-62.24
FRB20190601A,190.11,62.72,2227.891,0.012,54.36
FRB20190601B,17.88,23.82,787.795,0.087,-38.82
FRB20190601D,85.86,79.35,668.47,0.1,23.58
FRB20190601C,88.52,28.47,424.0656,0.0061,1.35
FRB20190601C,88.52,28.47,424.0656,0.0061,1.35
FRB20190603B,48.87,74.28,504.317,0.022,14.12
FRB20190603A,29.5031258,65.7167542,349.581,0.014,3.73
FRB20190604D,199.93,15.73,1021.169,0.01,76.85
FRB20190604A,218.78,53.28,552.485,0.024,57.58
FRB20190604E,235.59,32.06,1218.5965,0.0077,52.76
FRB20190604F,29.5031258,65.7167542,348.7248,0.0038,3.73
FRB20190604F,29.5031258,65.7167542,348.7248,0.0038,3.73
FRB20190604F,29.5031258,65.7167542,348.7248,0.0038,3.73
FRB20190604C,77.39,49.3,515.636,0.045,5.52
FRB20190604G,120.81,59.5,233.0453,0.0097,32.15
FRB20190605C,168.32,-5.19,187.6421,0.0023,49.91
FRB20190605D,26.72,28.62,1656.5332,0.0055,-32.69
FRB20190605A,29.5031258,65.7167542,349.816,0.018,3.73
FRB20190605B,29.5031258,65.7167542,348.711,0.014,3.73
FRB20190605B,29.5031258,65.7167542,348.711,0.014,3.73
FRB20190605B,29.5031258,65.7167542,348.711,0.014,3.73
FRB20190606A,218.78,53.28,552.592,0.057,57.58
FRB20190606B,108.79,86.85,277.486,0.017,27.41
FRB20190607A,26.23,23.66,562.4528,0.0038,-37.6
FRB20190607B,42.02,49.62,289.376,0.0048,-8.98
FRB20190609B,210.49,88.35,292.1875,0.001,28.7
FRB20190609C,73.17,24.06,480.282,0.096,-12.51
FRB20190609D,115.94,51.69,511.714,0.043,28.86
FRB20190614B,332.86,24.69,581.9146,0.0013,-25.4
FRB20190614C,356.5,35.91,589.163,0.049,-25.1
FRB20190621A,188.22,74.19,197.32,0.42,42.88
FRB20190621B,193.14,55.64,1061.234,0.029,61.49
FRB20190621C,206.57,5.23,570.2672,0.0041,64.5
FRB20190621D,270.63,78.89,647.514,0.02,28.93
FRB20190622A,298.98,85.81,1122.818,0.021,25.89
FRB20190623A,270.48,24.52,1082.201,0.031,21.27
FRB20190623B,335.22,46.12,1556.765,0.0055,-9.2
FRB20190623C,192.31,86.03,1049.826,0.004,31.1
FRB20190624A,168.32,69.78,973.847,0.033,45.05
FRB20190624B,304.65,73.61,213.9222,0.002,20.13
FRB20190625A,227.91,32.88,302.14,0.1,59.25
FRB20190625E,65.54,73.63,188.533,0.058,16.58
FRB20190625E,65.54,73.63,188.533,0.058,16.58
FRB20190625E,65.54,73.63,188.533,0.058,16.58
FRB20190625C,73.2,11.1,442.2388,0.0043,-20.14
FRB20190625D,115.02,4.87,717.8831,0.0028,13.03
FRB20190626A,65.54,73.63,192.49,0.58,16.58
FRB20190627A,195.89,0.75,404.2213,0.0077,63.46
FRB20190627B,256.4,40.79,430.3224,0.0016,36.74
FRB20190627C,267.88,71.58,968.6127,0.0027,30.35
FRB20190627D,295.33,43.84,2002.242,0.015,10.21
FRB20190628A,199.06,51.75,745.843,0.011,64.94
FRB20190628B,248.48,80.14,408.009,0.016,32.36
FRB20190628C,11.52,48.59,1748.44,0.18,-14.27
FRB20190629A,6.34,12.67,503.779,0.038,-49.7
FRB20190630B,328.21,43.01,652.145,0.015,-8.74
FRB20190630A,331.71,17.37,392.438,0.026,-30.23
FRB20190630C,68.38,80.95,1660.347,0.018,21.78
FRB20190630D,143.36,8.9,323.5174,0.0041,39.91
FRB20190701A,277.47,59.04,637.0934,0.0036,25.72
FRB20190701B,302.93,80.18,749.114,0.011,23.4
FRB20190701C,96.36,81.63,974.195,0.029,25.88
FRB20190701D,112.1,66.7,933.3629,0.0097,28.38
FRB20190701E,138.57,61.71,890.4771,0.0081,40.37
