name,ra_deg,dec_deg,dm,dm_err,galactic_lat
FRB20181128C,268.77,49.71,618.35,0.0021,29.2
FRB20181128C,268.77,49.71,618.35,0.0021,29.2
FRB20181129A,355.12,44.95,385.9684,0.0019,-16.13
FRB20181129B,307.56,81.32,405.905,0.0049,23.24
FRB20181129C,233.38,40.03,502.2158,0.0097,54.23
FRB20181130A,355.19,46.49,220.0896,0.0037,-14.66
FRB20181201A,214.96,39.27,694.356,0.059,67.97
FRB20181201B,273.38,56.31,876.577,0.016,27.43
FRB20181202A,351.01,17.36,667.9546,0.0047,-40.72
FRB20181202B,202.83,64.72,825.8834,0.0068,51.87
FRB20181202C,307.13,57.03,557.1604,0.0095,10.57
FRB20181203A,33.6,23.57,635.9255,0.0023,-35.49
FRB20181203B,47.31,24.02,375.3871,0.0041,-29.0
FRB20181203C,198.48,72.94,2444.57,0.024,44.09
FRB20181213A,127.66,73.87,678.672,0.015,32.8
FRB20181213B,183.52,53.7,626.593,0.015,62.55
FRB20181213C,216.4,47.46,380.736,0.019,62.58
FRB20181214A,70.0,43.07,468.148,0.011,-2.37
FRB20181214B,138.79,42.15,1120.746,0.012,43.88
FRB20181214C,175.93,60.02,632.7849,0.0039,55.13
FRB20181214D,178.57,46.71,1177.319,0.018,67.41
FRB20181214F,252.62,32.44,2105.76,0.13,38.53
FRB20181215A,93.38,39.34,412.632,0.021,10.12
FRB20181215B,254.81,47.56,494.0142,0.0019,38.24
FRB20181216A,306.28,53.53,542.7376,0.005,9.0
FRB20181217A,290.5,59.8,1177.1666,0.0058,19.55
FRB20181218A,5.06,71.35,1874.406,0.028,8.63
FRB20181218B,18.04,69.39,753.405,0.023,6.59
FRB20181218C,285.98,58.24,384.153,0.099,21.24
FRB20181219B,180.79,71.55,1952.166,0.003,45.07
FRB20181219C,17.77,14.11,647.891,0.011,-48.49
FRB20181219A,73.92,63.22,451.806,0.071,12.3
FRB20181220A,346.11,48.43,209.4017,0.005,-10.73
FRB20181220B,277.37,84.87,257.7994,0.0033,27.5
FRB20181221A,230.58,25.86,316.237,0.013,56.34
FRB20181221B,306.31,80.98,1395.021,0.0081,23.25
FRB20181222A,29.5031258,65.7167542,348.73651,0.0003,3.73
FRB20181222A,29.5031258,65.7167542,348.73651,0.0003,3.73
FRB20181222A,29.5031258,65.7167542,348.73651,0.0003,3.73
